Line    1 | modem 1760932567     | 00000000
Line    2 | machine 1760932567   | 00000000
Line    3 | machine 1760932568   | 11111111 11111111 00010010 01000000 00000000 00000000 00000000 00000000 00000000 00000100 00001111 01011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 10111111 00001010 00110011
Line    4 | modem 1760932569     | 11111111 11111111 00001010 00000000 00000000 00000000 00000000 00000000 00000000 01100001 00000000 00000111 01110010
Line    5 | machine 1760932569   | 11111111 11111111 00101110 01000000 00000000 00000000 00000000 00000000 00000000 01100010 01000101 00101011 00101011 00110010 00101110 00110001 00110111 00000000 00110010 00110000 00110010 00110100 00110001 00110010 00110010 00110100 11110001 00000000 00000000 00110000 00110000 00110000 00110000 00110000 00110000 00110000 00110001 00000000 01010101 00101101 01010111 01001101 01010100 00000000 00000000 00000000 00000000 00001100 10111100 01110100 10010001
Line    6 | modem 1760932569     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110000 10111000 10000110 01000001
Line    7 | machine 1760932569   | 11111111 11111111 00101000 01000000 00000000 00000000 00000000 00000000 00000000 01110001 00100000 00011100 01010001 10001001 00001100 00110001 11000011 00001000 00000101 00000011 00000000 00100001 10000000 00000000 01111000 01000101 00000000 00000000 00000000 00000011 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 01000000 10100000 11111111 01010101 10000111
Line    8 | modem 1760932569     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 00000001 01001101 00000001 10011001 10110011 10110100
Line    9 | machine 1760932569   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000010 01101101 00000001 00000001 00110000 00010000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00111101 10001101 11110100
Line   10 | modem 1760932569     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 01110011 10111011 10000111 00000001
Line   11 | machine 1760932569   | 11111111 11111111 01000110 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000010 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000100 00000001 00000010 00000001 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00000111 00000101 00000101 00000101 00000000 00000001 01101001 00000000 00000000 00000000 00100100 00000001 01001100 00100100 00000010 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00111101 01100111 01000000
Line   12 | modem 1760932569     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   13 | machine 1760932569   | 11111111 11111111 00010010 01000000 00000000 00000000 00000000 00000000 00000000 01110100 00001111 01011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00101111 11001011 10011001
